Name,Title,Review,Rating,Date,Type,Details,Review_Length,positive,negative,neutral,compound
Siddhardha Sagar. Rekhala,No charger,"Every thing is good about iPhones, there's nothing compared to it's speed and ios but i was disappointed because there's no charger for it even though Indian judiciary told them to provide , still they haven't made any progress regarding charger. Why should we spend 62k and more than that for iPhones because of it's brand and Acessories comfort size and Features right if that's not there what's point of buying an iPhone.Thank you🙏",4.0 out of 5 stars,2024-08-11 00:00:00,Apple iPhone 13,Colour: MidnightSize: 256 GB,434,0.063,0.121,0.816,-0.6954
BHARATHARAJU,Good product,Good product,4.0 out of 5 stars,2024-08-17 00:00:00,Apple iPhone 13,Colour: BlueSize: 128 GB,12,0.744,0,0.256,0.4404
Mohd Azeem Akhtar,A Sleek and powerful device,"Here's a review for the iPhone 13 128GB in Midnight color:Title: A Sleek and Powerful Device!Rating: 5/5I'm absolutely loving my new iPhone 13 in Midnight color! The sleek design and stunning display make it a head-turner. With 128GB of storage, I have plenty of space for my favorite apps, photos, and music.The camera is incredible, capturing crisp and vibrant images even in low light. The battery life is impressive, lasting me a full day with heavy use. The A15 Bionic chip delivers lightning-fast performance, making everything from gaming to multitasking a breeze.The Midnight color is sleek and sophisticated, and the OLED display is simply gorgeous. I couldn't be happier with my purchase!Pros:- Stunning display- Excellent camera performance- Fast performance- Long battery life- Sleek designCons: None!Overall, I highly recommend the iPhone 13 128GB in Midnight color to anyone looking for a top-notch smartphone!",4.0 out of 5 stars,2024-06-27 00:00:00,Apple iPhone 13,Colour: MidnightSize: 128 GB,924,0.229,0.03,0.741,0.9864
Yogesh M.,Delivered on scheduled date,I am satisfied with the product and schedule,4.0 out of 5 stars,2024-08-13 00:00:00,Apple iPhone 13,Colour: BlueSize: 128 GB,44,0.318,0,0.682,0.4215
Techno savvy,Value for Money,"Stunning Display: The Super Retina XDR display is vibrant and sharp, making everything from photos to videos look fantastic.Performance: Powered by the A15 Bionic chip, the iPhone 13 handles multitasking, gaming, and demanding apps with ease.",4.0 out of 5 stars,2024-08-06 00:00:00,Apple iPhone 13,Colour: BlueSize: 128 GB,242,0.274,0.042,0.684,0.8885
EBADUR RAHMAN MAJUMDAR,Quality,Nice one,4.0 out of 5 stars,2024-08-12 00:00:00,Apple iPhone 13,Colour: StarlightSize: 256 GB,8,0.737,0,0.263,0.4215
Jasbir singh,Nice,M loving it ......,4.0 out of 5 stars,2024-08-16 00:00:00,Apple iPhone 13,Colour: BlueSize: 128 GB,18,0.661,0,0.339,0.5994
Rohit Pahadiya,Amazing,All is well,4.0 out of 5 stars,2024-08-13 00:00:00,Apple iPhone 13,Colour: MidnightSize: 128 GB,11,0.512,0,0.488,0.2732
Aarthi,Good,Works fine,4.0 out of 5 stars,2024-08-10 00:00:00,Apple iPhone 13,Colour: GreenSize: 256 GB,10,0.643,0,0.357,0.2023
N,Camera quality is good,3 people found this helpful,4.0 out of 5 stars,2024-08-07 00:00:00,Apple iPhone 13,Colour: StarlightSize: 128 GB,27,0.52,0,0.48,0.5023
Vishal,Amazing phone,"Great phone , loved it and the camera quality and phone smoothness is amazing…",5.0 out of 5 stars,2024-08-28 00:00:00,Apple iPhone 13,Colour: StarlightSize: 128 GB,78,0.421,0,0.579,0.8402
Bobby,Its completely worth it product,I’m using it from almost 2 months there no issue I’m facing as such now …camera quality is great 👍 and best part is it’s Display gives you premium experience u can go for it,5.0 out of 5 stars,2024-08-17 00:00:00,Apple iPhone 13,Colour: PinkSize: 128 GB,173,0.212,0.049,0.739,0.8107
Dhruv s.,1 star cut for heating issue,"Its 8 month and battery health is 90%To nullify heating I’ve ordered a cooler with Hit sink technology, works like refrigerator .Otherwise phone is so smooth , my storage is fullStill consistently giving great camera performance",4.0 out of 5 stars,2024-07-11 00:00:00,Apple iPhone 13,Colour: StarlightSize: 128 GB,228,0.231,0,0.769,0.8402
sanjay,Everything,Fine product and value for money,5.0 out of 5 stars,2024-09-01 00:00:00,Apple iPhone 13,Colour: StarlightSize: 128 GB,32,0.512,0,0.488,0.4939
Sathish,iPhone 13 256GB,"It look so fabulous, I am android user switched to apple. I feel pleasant while using iPhone in hand. I like it very much 😍❤️",5.0 out of 5 stars,2024-08-16 00:00:00,Apple iPhone 13,Colour: MidnightSize: 256 GB,125,0.426,0,0.574,0.9241
ayush verma,Not as good as expected,But still using,5.0 out of 5 stars,2024-08-30 00:00:00,Apple iPhone 13,Colour: MidnightSize: 128 GB,15,0,0,1,0
Kalyan,Better option over iphone 14,"Iphone 13 is as good as iphone 14 , same specifications but different names, but it is not a better phone than iphone 15 😂, some ppl consider camera performance to compare it with iphone 15 , those things are fake 😂",4.0 out of 5 stars,2024-07-09 00:00:00,Apple iPhone 13,Colour: BlueSize: 128 GB,215,0.044,0.164,0.792,-0.7437
Bharadwaj,Best iPhone,Affordable priced iPhone. Great build quality and fabulous user experience,5.0 out of 5 stars,2024-08-31 00:00:00,Apple iPhone 13,No Details,74,0.484,0,0.516,0.8176
Soumen s.,Best,Best,5.0 out of 5 stars,2024-09-02 00:00:00,Apple iPhone 13,Colour: MidnightSize: 128 GB,4,1,0,0,0.6369
Akshay Mokashi,Awesome,‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ .,5.0 out of 5 stars,2023-10-08 00:00:00,Apple iPhone 13,Colour: StarlightSize: 128 GB,1151,0,0,0,0
Ketan,Good,best,5.0 out of 5 stars,2024-08-31 00:00:00,Apple iPhone 13,Colour: GreenSize: 128 GB,4,1,0,0,0.6369
Aztech,Apple phone,"As it is an apple product, quality is ensured and proven",5.0 out of 5 stars,2024-08-22 00:00:00,Apple iPhone 13,Colour: GreenSize: 256 GB,56,0,0,1,0
Priyanshu Sharma,"I loved it, if I forgot the price 😄","I used this phone is very smooth, fast, camera quality is natural photos, performance is great i play call of duty very nice 🙂👍",4.0 out of 5 stars,2024-07-12 00:00:00,Apple iPhone 13,No Details,127,0.402,0,0.598,0.902
Not bad,Good,Cool,4.0 out of 5 stars,2024-07-18 00:00:00,Apple iPhone 13,Colour: GreenSize: 256 GB,4,1,0,0,0.3182
paddu,Best phone that too in budget,"The iPhone 13 is a solid upgrade, especially for those coming from older models. Its improvements in battery life, camera capabilities, and processing power make it a worthwhile consideration. However, if you already have an iPhone 12, the changes might not be significant enough to justify an immediate upgrade unless the new camera features or increased battery life are particularly important to you",5.0 out of 5 stars,2024-07-31 00:00:00,Apple iPhone 13,Colour: MidnightSize: 128 GB,402,0.156,0.024,0.82,0.7846
Placeholder,This is a the attempt to purchase for in all i-phone family...,"although, i-phone handling is quite different in compare to android phone. But this number is comparatively easier than others.",5.0 out of 5 stars,2024-08-16 00:00:00,Apple iPhone 13,Colour: GreenSize: 128 GB,127,0.236,0,0.764,0.6443
Vijaykumar,iPhone 13 128gb,Phone looks good as expected and working is amazing.,5.0 out of 5 stars,2024-08-27 00:00:00,Apple iPhone 13,Colour: MidnightSize: 128 GB,52,0.489,0,0.511,0.7717
Kindle Customer,It was my son’s gift,"Though I am not so big techy, I am happy to use it easily without any hassles.  The phone is handy, slim and easy to operate.  With little effort, I could use it happily.",5.0 out of 5 stars,2024-08-09 00:00:00,Apple iPhone 13,Colour: MidnightSize: 128 GB,170,0.318,0,0.682,0.9118
Priyanshu,♥️🔥,Report,5.0 out of 5 stars,2024-08-27 00:00:00,Apple iPhone 13,Colour: StarlightSize: 128 GB,6,0,0,1,0
Arjun saini,Camera quality are osam,Best phone,5.0 out of 5 stars,2024-08-26 00:00:00,Apple iPhone 13,Colour: StarlightSize: 128 GB,10,0.808,0,0.192,0.6369
Product not delivered,Bought this for my LDR BF,"Good quality phone, sadly the relationship didn’t last but the phone will.",5.0 out of 5 stars,2024-08-15 00:00:00,Apple iPhone 13,Colour: BlueSize: 128 GB,74,0.141,0.137,0.722,0.0129
Rajan goyal,Good,Nice,5.0 out of 5 stars,2024-08-27 00:00:00,Apple iPhone 13,Colour: MidnightSize: 128 GB,4,1,0,0,0.4215
Luqman shaikh,iPhone 13,Is the best phone,5.0 out of 5 stars,2024-08-26 00:00:00,Apple iPhone 13,Colour: BlueSize: 128 GB,17,0.583,0,0.417,0.6369
Antony.B,Nice Product F serious,I m satisfied with this beautiful product but I received F serious Serial number apart from signal issue  tower issue rest phone work good,5.0 out of 5 stars,2024-08-04 00:00:00,Apple iPhone 13,Colour: (PRODUCT) REDSize: 256 GB,138,0.37,0.056,0.575,0.802
Karthik,Dream mobile,"Apple iPhone is my dream mobile. I am loving this till now, the only concern I'm feeling is, since it is a bit older version the OS updates may be less in the future.",4.0 out of 5 stars,2024-06-25 00:00:00,Apple iPhone 13,Colour: StarlightSize: 128 GB,166,0.203,0,0.797,0.7506
